date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
20010421,0,149511,11,7.666233766233766,770,1,3,9,19.982544960759576,27.45900736104377,76,9,130.2814414478575,9.208340827806763
20010422,0,172101,11,7.620052770448549,758,1,3,9,23.001758869191455,31.60785912637193,75,7,128.39275506454717,8.98417249952786
20010423,0,163125,11,7.621372031662269,758,1,3,9,21.802092466266064,29.959337946841803,75,7,127.53213515141279,8.978342800571399
20010424,0,150979,11,7.417799752781211,809,1,3,9,19.504717956137995,26.802401545169214,81,7,129.81870046926636,9.545628987769879
20010425,0,166822,10,7.380952380952381,798,1,3,9,21.55144794228901,29.614914859471973,80,5,127.35192815569906,9.323448178682998
20010426,0,150338,11,7.40251572327044,795,1,3,9,19.75179205818671,27.14191833846065,80,7,129.92717936488793,9.424782587994532
20010428,0,166181,10,7.364795918367347,784,1,3,9,21.83328603560993,30.002202579545617,79,5,127.42604243019356,9.202548516454762
20010429,0,150338,11,7.40251572327044,795,1,3,9,19.75179205818671,27.14191833846065,80,7,129.92717936488793,9.424782587994532
20010430,0,172928,10,7.353767560664112,783,1,3,9,22.719724201719536,31.22030128399555,79,5,128.0561811048788,9.200616185831965
20010501,0,166181,10,7.364795918367347,784,1,3,9,21.83328603560993,30.002202579545617,79,5,127.42604243019356,9.202548516454762
20010502,0,166181,10,7.364795918367347,784,1,3,9,21.83328603560993,30.002202579545617,79,5,127.42604243019356,9.202548516454762
20010503,0,150692,11,7.4017632241813605,794,1,3,9,19.798301486199577,27.205829253144994,80,7,129.94360490090088,9.419929240815597
20010504,0,150692,11,7.4017632241813605,794,1,3,9,19.798301486199577,27.205829253144994,80,7,129.94360490090088,9.419929240815597
20010505,0,173282,10,7.352941176470588,782,1,3,9,22.7662336297324,31.284212198679896,79,5,128.07317651259027,9.195762886117297
20010513,0,150692,11,7.4017632241813605,794,1,3,9,19.798301486199577,27.205829253144994,80,7,129.94360490090088,9.419929240815597
20010515,0,150692,11,7.4017632241813605,794,1,3,9,19.798301486199577,27.205829253144994,80,7,129.94360490090088,9.419929240815597
20010805,0,175002,11,7.607503607503608,693,1,3,8,23.61904401999633,32.400997569027226,75,4,126.3119919952789,8.47741802022148
20011025,0,172171,11,7.5968208092485545,692,1,3,8,23.23695973741322,31.87684799292,75,4,125.14218501222737,8.470645515240165
20011027,0,181147,11,7.595375722543353,692,1,3,8,24.448400401654123,33.53872245252382,75,4,126.07054595209155,8.476543200997716
20011028,0,172171,11,7.5968208092485545,692,1,3,8,23.23695973741322,31.87684799292,75,4,125.14218501222737,8.470645515240165
20011029,0,158557,11,7.646306818181818,704,1,3,8,21.399554077545158,29.35626433727757,76,6,128.0493126949115,8.700717500743334
20011030,0,181147,11,7.595375722543353,692,1,3,8,24.448400401654123,33.53872245252382,75,4,126.07054595209155,8.476543200997716
20011101,0,175002,11,7.607503607503608,693,1,3,8,23.61904401999633,32.400997569027226,75,4,126.3119919952789,8.47741802022148
20011102,0,174400,11,7.607503607503608,693,1,3,8,23.537795437122774,32.28953941119729,75,4,125.3804092121277,8.478388194421736
20011104,0,158557,11,7.646306818181818,704,1,3,8,21.399554077545158,29.35626433727757,76,6,128.0493126949115,8.700717500743334
20011106,0,167999,11,7.583547557840617,778,1,3,7,22.79819676046552,31.274945640842343,85,4,127.20066943722631,9.422767240785888
20011108,0,174144,11,7.572715572715572,777,1,3,7,23.632100052110474,32.4189080511125,85,4,126.95888356382977,9.421915016794982
20011109,0,167999,11,7.583547557840617,778,1,3,7,22.79819676046552,31.274945640842343,85,4,127.20066943722631,9.422767240785888
20011110,0,151554,11,7.6185044359949305,789,1,3,7,20.56653856175091,28.213519792690555,86,6,128.93093739210562,9.646090161692594
20011111,0,165168,11,7.574002574002574,777,1,3,7,22.41401771756123,30.74792243767313,85,4,126.03451536062323,9.415985065918768
20011112,0,167999,11,7.583547557840617,778,1,3,7,22.79819676046552,31.274945640842343,85,4,127.20066943722631,9.422767240785888
20011113,0,167397,11,7.583547557840617,778,1,3,7,22.716502735799896,31.16287641855062,85,4,126.27329957465945,9.423742749605495
20011114,0,151554,11,7.6185044359949305,789,1,3,7,20.56653856175091,28.213519792690555,86,6,128.93093739210562,9.646090161692594
20011115,0,167999,11,7.583547557840617,778,1,3,7,22.79819676046552,31.274945640842343,85,4,127.20066943722631,9.422767240785888
20011116,0,168907,11,7.561006289308176,795,1,3,7,22.21501772919056,30.474930942590785,89,5,126.11621908274711,9.76917378809229
20011118,0,177883,11,7.559748427672956,795,1,3,7,23.395560863206406,32.09441965614733,89,5,127.0128164224752,9.774921483957044
20011119,0,155293,11,7.604708798017348,807,1,3,7,20.424474700392462,28.01863422396793,90,7,128.92539013477693,9.999091409916751
20011120,0,171136,11,7.5703517587939695,796,1,3,7,22.50818067991709,30.877096756151115,89,5,126.34726077275381,9.776846719740043
20011121,0,155308,11,7.607940446650124,806,1,3,7,20.426447533169895,28.021340588796733,92,7,128.92498446657834,10.098086190538872
20011122,0,201279,11,7.629370629370629,1001,1,3,7,21.38263289848298,29.48322078835196,106,8,127.82325715959962,11.855641975259099
20011124,0,201279,11,7.629370629370629,1001,1,3,7,21.38263289848298,29.48322078835196,106,8,127.82325715959962,11.855641975259099
20011126,0,192303,11,7.63036963036963,1001,1,3,7,20.42907831555688,28.16842197776443,106,8,127.1102362670043,11.851000413048071
20011128,0,195134,11,7.637724550898204,1002,1,3,7,20.72982620150427,28.58310506965094,106,8,128.01413543578198,11.857395090127204
20011130,0,192303,11,7.63036963036963,1001,1,3,7,20.42907831555688,28.16842197776443,106,8,127.1102362670043,11.851000413048071
20011208,0,190390,11,7.998992950654582,993,1,3,7,21.858180716030787,29.98541599075191,115,6,128.74337941822174,12.16932950126778
20011216,0,189788,11,7.998992950654582,993,1,3,7,21.789066661768217,29.890604181169305,115,6,127.97323911227939,12.170154574470486
20011217,0,196535,11,7.990927419354839,992,1,3,7,22.563672183544885,30.953220924115904,115,6,128.5306270548161,12.167837125593639
20011218,0,190390,11,7.998992950654582,993,1,3,7,21.858180716030787,29.98541599075191,115,6,128.74337941822174,12.16932950126778
20020101,0,196535,11,7.990927419354839,992,1,3,7,22.563672183544885,30.953220924115904,115,6,128.5306270548161,12.167837125593639
20020209,0,150288,11,7.7898550724637685,690,1,3,7,18.544366899302094,25.4394710605027,74,8,126.71932379730112,8.621220564884132
20020430,0,180743,10,7.754838709677419,775,1,3,7,19.384040873758085,26.72748297951627,79,5,124.44715443487488,9.132780772831994
20020529,0,166061,11,7.788265306122449,784,1,3,7,17.80944883916468,24.556373143421606,80,7,126.66636753626608,9.344435722645752
20020701,0,258000,10,7.309803921568627,765,1,3,9,27.03699667172475,37.27968141766826,83,9,129.40566052106135,9.559975484356363
20020730,0,257312,10,7.304347826086956,759,1,3,9,26.964898013933485,37.18026893388781,82,9,128.71536906420653,9.478641757304215
20020806,0,264059,10,7.2928759894459105,758,1,3,9,27.67194691526731,38.1551759514266,82,9,129.1627190529747,9.476082000967283
